Review Text,Actual Sentiment,Predicted Sentiment,Original Rating
mudah guna terimakasih,positive,positive,5
masak iya otp kali aplikasi negara kyk gin kl korupsi ngotak dikit aplikasi anggar dana kyk gin hedeh sulit konoha,negative,negative,5
mudah,positive,positive,5
cepat update,positive,positive,3
aplikasi taiiga diapain log out sendiri,neutral,neutral,5
cari riwayat layan anggota keluarga tanggung,neutral,neutral,4
alhamdulillah fast respon keluh tanggap admin terima kasih,neutral,neutral,5
habis upgrade susah masuk isi data niat bikin jkn gak sih,negative,negative,1
rubah nama bayi lahir,neutral,neutral,5
biometrikbiometrik ngulang apliksa bego,neutral,neutral,5
jaring bagus susah bangat login,neutral,neutral,5
aplikasi bantu pindah faskes cepat terima kasih,positive,positive,5
sulit ribet verifikasi auti debit situ tulis selesai gilir udah verifikasi kode server error cih aplikasi perintah ribet,negative,negative,3
bobrok aja nih aplikasi susah akses,negative,negative,5
m mudah msu obat puskesmas daftar dr rumah antri,positive,positive,5
aplikasi mudah,positive,positive,1
urus sehat online laku mobile jkn aja jamin mudah,positive,positive,5
sungguh buruk ngirim otp sms no hp aktiv jaring full ga kirim kirim mohon perhati,negative,negative,2
aplikasi buka isi update aja ngak ngak bantu,neutral,neutral,1
aplikasi jkn ga klik ya tulis coba test pakai wifi kuota ud coba pake hape aja daftar faskes ga,neutral,neutral,1
bijak,neutral,neutral,1
aplikasi nya pake tiba login masuk akun nggk captcha kode muter sinyal oke aplikasi nya eror,positive,positive,5
tolong min ya daftar aplikasi pas daftarin nomor hp sayamasih aktif aplikasi ga masuk masuk ya kode verifikasinyamohon bantu mintapi tahap aja masalah kode verifikasi nya aja ga masuk masuk udah x nyoba,negative,negative,5
terimakasih layan baik nya mobile jkn is the best,positive,positive,5
overall layan lancar mantab,neutral,neutral,5
login salah pw udah bener chat pandawa ganti email nomor hp aplikasi ttp ga ubah udh setting biometrik ttp ga setting gimana sih ribet banget pake kk foto tau aneh bgt aplikasi mudah malh ribetsusahsulit,neutral,neutral,5
lg butuh nda login,neutral,neutral,2
,neutral,neutral,4
tolong sistem antri online kia sabtu,neutral,neutral,5
masukin keluh keluar keluh kandung spesial karakter maksud coba ber ulang kali,neutral,neutral,1
bantu sekaliapalagi nyari info kadi gak ribet rubah faskes gampang,neutral,neutral,5
udah akun jkn login mohon baik,positive,positive,5
bagus gampang erti fiturnya,positive,positive,5
susah otp nya gak masuk gimna ya rada sebel deh mudah gak yah,neutral,neutral,5
gas gausah login ulang kalo update,neutral,neutral,5
tolong sulit hidup bayar rutin loh tiba akun log out lupa sandi mai ganti sandi ribetnya astaghfirullah gagal buang,negative,negative,5
bantu manfaat obat mana ubah periksa sehat sukses,neutral,neutral,5
mudah aplikasi,positive,positive,5
mudah bantu,positive,positive,5
sulit aktivasi jengkel,negative,negative,1
habis baru buruk bgt,negative,negative,1
aplikasi buruk error login captcha muncul login fitur dalam terang offline jaring bagus,negative,negative,1
mudah gx ribet cepet darimana,positive,positive,5
pulsa habis gara gara kode verifikasi kunjung kirim bpjs gun aplikasi control pasien sulit orang,negative,negative,1
daftar scant wajah ga,neutral,neutral,2
layan medis dokter awat dll bagus trimakasih,positive,positive,5
terima kasih,neutral,neutral,5
gabisa loginsuruh ngirim kode sms ga masuk masuknyusahin guna,neutral,neutral,1
aplikasi masyarakat bikin ribet perintah bagsat,neutral,neutral,5
gk masuk karna nik daftar gmna min,neutral,neutral,5
otp gk masuk masuk cemana nya rubah faskes tunda jdnya,neutral,neutral,5
mudah cepatpraktis proses nya,positive,positive,4
tdk screenshot,neutral,neutral,4
konsep nya gimn sih bikin kek mbanking gimn ribet bgt ga buka bbrp logout login dl buka apk nya,neutral,neutral,1
cepat tanggap klo mssalah,positive,positive,5
aplikasi mudah kepegurusan layan sehat,positive,positive,2
aplikasi bantu aekali,neutral,neutral,5
bantu terima kasih jkn,neutral,neutral,5
mudah gak ribet bantu,positive,positive,1
bantu sukses bpjs,neutral,neutral,5
slalu kluar snsdri gimana pasword smua bner tpi slalu slah jalan nya isi pulsa ganti pasword email udah kait bilang pakai sidik jari kait bilang blum pakai log in anehsmua bnar tpi slalu masukmohon bantu,neutral,neutral,5
tolong cari developer yg bagus utk kelola aplikasi,positive,positive,1
bagus inovasi,positive,positive,5
daftar akun notif no hp serta serta yg salah masuk no hp nya sulit donk aplikasi nya baik lagih sulit rakyat,negative,negative,1
udh update hrs log in lg jd nya repot,negative,negative,5
verifikasi kirim aneh,negative,negative,5
mudah bantu ribet terimaksih,positive,positive,5
layan,neutral,neutral,5
kasi yg udah tua ribet,neutral,neutral,1
ok,neutral,neutral,1
ko gk masuk aplik si,neutral,neutral,1
mudah ribet,positive,positive,5
lumayan bagus aplikasi perintah,positive,positive,5
tolong fix bug daftar ambil antre mudah sulit ribet,neutral,neutral,5
system bagus mudah cepat,positive,positive,5
aplikasi perintah tapi bug aneh,negative,negative,2
daftar yg sulit lansia,negative,negative,1
rugi bayar kelas masuk ruang kelas skrg kelas ac fasilitas ac pasien sembuh daerah singaparna tasikmalaya,neutral,neutral,1
mudah,positive,positive,5
aplikasi bantu ok terimakasih,neutral,neutral,5
error susah ambil jadwal antre,negative,negative,1
susah dapetin kode otpnyaa,negative,negative,5
lumayan cepat lalod n bikin pusing,positive,positive,1
eror trs aplikasi jelek,negative,negative,5
aplikasi bagus batu,positive,positive,5
coba harikalau g kasih bintang,neutral,neutral,5
pindah faskes ambil antri muncul daftar rekam medis pilih option tuju muncul ambil antri tim developer mohon atas aplikasi fungsi,neutral,neutral,5
susahribet bayar cicil fitur rehabcicilan eh bayar tdk lg gimana lunasinnya klo bgtu urus ribet jg lunas ribet cicil pas mah bayar cicil lg biaya cicil tolong baik,positive,positive,1
aplikasi mobile jkn mudah urus bpjs,positive,positive,1
bagus mudah pokok,positive,positive,5
moga ubah alamat karna butuh darurat,neutral,neutral,5
mudah,positive,positive,5
bagus krn mudah daftar online logout login repot krn ketik nomer nik,positive,positive,5
ulas org yg baca nya balas yg isi kode otp admin m jkn balas singkat pastingan jaring bagusdah tau jaring nyadr aplikasi aja yg ngga bikin nunggu kirim ulg kode perifikasi nya menitmnding masukmh plislah bikin aplikasi yg benerbuat mudah mempersulithampir org kasih bintang ya mengecewakanpadahal yg rugi apk m jkn jugabintang nya,positive,positive,2
cape banget update trs update pas daftar jkn tau akun nya pas masuk susah sarver error sdh pake paket data sm wifi ttep aja obat daftar jkn tp jkn nya susah akses error perbaikin dlu sistem nya bkin atur daftar obat lwt jkn,negative,negative,1
sangt manfaat tksi,neutral,neutral,5
serta pas isi data kk ngga klik tolong diperbaikiii,neutral,neutral,4
daftar susah,negative,negative,5
tolong hilang verifikasi wajah aplikasi mudah masyarakat obat,positive,positive,5
bagusssss,neutral,neutral,5
parah jelek banget aplikasi login nya login ulah gabisa udah bener data dimasukin hadehhhh,negative,negative,5
keren mudah d,positive,positive,5
susah masuk,negative,negative,5
bug jelek,negative,negative,5
log in,neutral,neutral,5
tolong donk masuk trouble gimana in,neutral,neutral,1
habis update logout puas,positive,positive,5
aplikasi gak susah bnget daftar online bikin apk gk si kelas bpjs lho,negative,negative,5
masuk aplikasi hadeuh aplikasi perintah gin,neutral,neutral,5
lihat info jkn pib ribetno rafebel tu,neutral,neutral,4
sulit verifikasi akun,negative,negative,5
tolong tingkat singkronitas data apk suka down gabisa ambil jadwal rujuk kasi yg rumah rs kalo ngurus berkas sepele yg selesai apk tp ribet karna data real time gk update pulang pergi rs yg utk ngurus,positive,positive,5
login nik udah kasih nik nik blm daftar gimana,neutral,neutral,5
logout samsung s ultra update logout captcha nya error login tolong ya kak,negative,negative,1
bagus layan,positive,positive,1
terbantuterimakasih,neutral,neutral,3
bayar bpjs pakai obat ruwet meh yo nggak tololnyaa,neutral,neutral,5
pas login bilang nonik salah ulas yg ngalamin yg kaya ndak tindak apa nih unistal trus instal ulang login hadeh,neutral,neutral,5
mantap aplikasi nya,positive,positive,5
mudah guna,positive,positive,5
jelek aplikasi login aja layar kedip susah logintlg baik aplikasi,negative,negative,5
nge lag jam operasional force close relog capcha muter kayak beyblade masuk it mohon pikirrr cari solusi tolong bikin ngomong kasar,positive,positive,5
bagus bantu,positive,positive,5
jelek buruk pindah faskes gak scan wajaalamat ganti pindah kartu ganti nya bantu sulit,negative,negative,5
mantapmempermudah layan ubah dataterimakasih,neutral,neutral,5
halo mobile jkn sinyal tolong sinyal bagus,positive,positive,1
puassering logintapi gimana,neutral,neutral,5
log out mulu banget errornya,neutral,neutral,5
bagus sekalidan bantu masyarakat,positive,positive,1
aplikasi lni daftar nunggu kode otp ulang ulang kali ngga masuk kode otp nya,neutral,neutral,1
aplikasi gabisa verifikasi nomer hp,neutral,neutral,5
mudah fasilitas sehat,positive,positive,1
akun mobile jkn tibatiba auto log out trs login akun blm daftar daftar nik nya daftar suruh hubung ducapil gmn sih jaring internet udah g wifi aktif no hp aktif bas gmn sih plis sulit,negative,negative,5
liat serta ny gmn yaa,neutral,neutral,5
pas verifikasi no hp kode otp ny gak masuk kendala sinyalpas coba sms no yg masuktapi gilir coba trus nerima otp gak bisa tolong baik kelas aplikasi perintah aja kayak gin gak beda registrasi online offline makan lamatapi ya gimanapun pikir kritik kali gak ubah,positive,positive,5
bagus layan cepat,positive,positive,5
cacat verif no telp ga muncul hama,neutral,neutral,5
registrasi buruk server masalah daftar nya,negative,negative,5
excelent,neutral,neutral,5
aplikasi cacat nungguin kode verif aja sampe gak masuk,neutral,neutral,5
apl sok sok online biar gausah antri tp sulit down mulu bikin yg bener kek,negative,negative,1
kode verifikasi sulit sekaliorang sakit koma nunggu apk,negative,negative,5
apk sulit doang,negative,negative,5
bobrok bener ya bikin aplikasi makan anggrannya ga hasil aplikasi sampah kaga buka mudahin rakyat dijadiin lahan korupsi,negative,negative,5
senang bantu aplikasi mobile jkn,neutral,neutral,5
moga kembang manfaat masyarakat,neutral,neutral,1
ok banget fiturnya mudah,positive,positive,1
ga kode otp nyah dih apk coba inih,neutral,neutral,1
aplikasi in bantu dlm obat antri bs online,neutral,neutral,1
bantu dg mudah,positive,positive,5
respon cepat mohon tahan,positive,positive,5
aplikasi scam nunggu verivikasi kode ampe jam gabisa login akun daftar orang obat nunggu keburu parah cocok cerdas smart nih aplikasi,negative,negative,5
alami sulit daftar daftar obat,negative,negative,1
puas banget mobile jkn rumah sakit tdk daftar sisa scan barcode sdh daftar online,positive,positive,1
dikit error aja harus pake apk daftar macemnya kalo blm bs maksimal gak pake apk bikin susah aja orang obat mlh halang apk gak,negative,negative,1
mudah aplikasi nya,positive,positive,3
susah banget daftar tolong kode referralnya membutuhkanya,negative,negative,5
app bantu,neutral,neutral,5
kali verikasi wajah daftar gagal terusaplikasinya rusak,negative,negative,5
aplikasi jelek log in captcha ndak muncul masak priksa nunggu in kayak gin ndak paket data wifi captcha ndak muncul dosa rakyat,negative,negative,1
ga bgt nih aplikasi masyarakat loh sulit,negative,negative,5
kait verifikasi daftar wajah sulit lambat daftar verifikasi wajah mudah atur ketat sehingga aplikasi mudah,neutral,neutral,5
terimakasih mudah nya,positive,positive,5
bagus bantu,positive,positive,1
aplikasi busukverifikasi wajah gak nyusahin aja,neutral,neutral,1
mantapss,neutral,neutral,5
aplikasi ngebantu bikin pusing logout pas masuk salah pasword pasword udh gua tulis kertas salah aplikasi bikin pusing ga ngebantu,neutral,neutral,5
mudah banget,positive,positive,5
udah coba berkalikali tetep gabisa masuk minta proses jelek bgt aplikasi hapus aja dah gak,negative,negative,1
aplikasi mudah urus sehat,positive,positive,1
daftar nomor telepon email udah pakai cek email gak mail jkn loh,neutral,neutral,5
login susah gagal nik bnr pasword bnr gagal kode verikasi bikin kesel udh update gilir update burulk susah gmn nambah b fulll apliksinya jg eror terosssssszzzszzz,negative,negative,5
udah bgs bgt pake jkn jd ga antri manualtapi login ga nik pswd tolong gimana salah mulu udah benerrrrr kalo apk buka apk lg login mulu kesel bgt gue pas login salah mulu baca pdhl udh bnr,neutral,neutral,5
percaya guna banget,neutral,neutral,5
mudah cari informasi kait sehat,positive,positive,5
apk perintah sampah ribet lu ampas,negative,negative,5
its ok,neutral,neutral,5
auto logout akun gak apain gakbisa daftar antri,neutral,neutral,5
aplikasi baharu lot,neutral,neutral,5
,neutral,neutral,5
aplikasi bantu tingkat,neutral,neutral,1
jelek offline emng apk perintah ga yg bner digitalisasi tpi blum server dll nya,negative,negative,1
nyari no antri slalu error jaring baguss tolong baik cepat,positive,positive,5
mantap mudah,positive,positive,5
mantap cepat tanggap,positive,positive,5
aplikasi yg sulit lansia log in lupa password pake jkn lupa password kirim sms gabisa koneksi internet lancar kali aplikasi ribet log in,negative,negative,5
suka,positive,positive,5
mudah dlm layan antrianmembantu,positive,positive,5
knpa sih jd susah bgt login udah login dr akun payaaah,negative,negative,5
blm erti daftar mobile jkn,neutral,neutral,1
loginnya susah banget captchanya loh loading mulu ampe jam jam,negative,negative,5
mudah praktis bantu,positive,positive,5
mudah cepat,positive,positive,5
mudah,positive,positive,3
aplikasi mudah,positive,positive,5
ya,neutral,neutral,5
logout mn password lupa jd nya login lupa password ribet mn hrus pke pulsa,neutral,neutral,5
bimbing aplikasi,neutral,neutral,5
keren apknya,neutral,neutral,1
terimakasih jkn ngebantu,neutral,neutral,1
mudah layan sehat,positive,positive,5
maaf apk minggu kasi akun ribet kasih masuk nik pasword,neutral,neutral,5
lot sekalikurang bantu baik,positive,positive,5
ulang donk biar foto,neutral,neutral,5
layan oke responsif cepattegaslugas,positive,positive,1
terima kasih perintah bpjs sehat,neutral,neutral,5
aplikasi logout pemberitahuan login device perangkat data bobol login muncul pemberitahuan tolong solusi,positive,positive,5
puas layan bpjs rs anna,positive,positive,5
mudah bantu,positive,positive,5
input data kalo ngga sengaja klik dara auto hilanggmn sih musti lg input dr sumpah ribet,neutral,neutral,1
mantap,positive,positive,2
mudah sehat,positive,positive,1
terimakasih respon yg,neutral,neutral,3
aplikasi uji sabar,neutral,neutral,4
kontrol ulang aja wajib daftar online aplikasi jkn ambil antri hilang input loket kontrol lain jarak rumah rumah sakit jam pakai bpjs mandiri sulit obat bpjs perintah gak bayar,negative,negative,5
bantu praktis,neutral,neutral,1
problem login,neutral,neutral,3
nicee,neutral,neutral,5
jozz,neutral,neutral,5
bagus banget aplikasi,positive,positive,5
bagus apl ni kak gampang kak,positive,positive,1
moga tingkat layan nya,neutral,neutral,5
verifikasi wajah aja susah ampun ribet,negative,negative,5
daftar faskes tp gagal dgn alesan daftar faskes tersebutpdhal ga pake aplikasi lancar inovasi yg mudahin pakbu om tantebkn sulit,negative,negative,1
banyak aplikasi plat merah,neutral,neutral,2
update tampil hitam ngeblank sdh coba hapus instal lg hasil nya sm ngeblank tolong baik sistem nya,positive,positive,5
mudah daftar obat pindah faskes urgent lintas pulau krn alas sehat,positive,positive,5
sebenernya nomor antri estimasi layan aplikasi up to date sih sblm dokter dtg pas ruang dokter pasien bnyk yg bingung krn yg no antri gak panggil duluan yg panggil ngacak trs fungsi ksh no antri estimasi layan bwt kalo nyata lapang beda rsui hga dll,neutral,neutral,1
kode otp ga bgt ga sms,neutral,neutral,5
very good,neutral,neutral,1
bantu aplikasi bawa data fisik,neutral,neutral,5
kasih bintang aplikasi nya log ak kasih ulas kemarin aplikasi log out masuk chapta nya paaraaaah nih aplikasi tambahin bintang nya krna sdh log lg makasih,neutral,neutral,1
aplikasi error pdahal sinyal bagus tp suruh coba mulu daftar aja ga kode otp loading mulu,neutral,neutral,5
aplikasi nya gmpng dgnakan mudah antri pngbatan,positive,positive,5
gajelas log out login nik nya salah,neutral,neutral,3
goooooood,neutral,neutral,1
bismillah,neutral,neutral,5
pusing dehh daftar gak bisa gagal mulu bilang nya koneksi sinyal bagus verifikasi otp sms gak masuk gimana jkn tolong baik,positive,positive,5
buka update udah update eh aja lucu nya negeri ku,neutral,neutral,5
cepat,positive,positive,1
tolong baik server bpjsnyasering bgt susah loginaplikasi loading teruscaptcha loading koneksi normaludh pke wifi kalo senin pagi susah ampun aplikasi,negative,negative,5
bagus moga rujuk online kertas rujuk mudah hilang rusak,positive,positive,5
apk nya bgus kode sms nya blm masuk pulsa minimal aja bsa kode masuk moga manfaat,neutral,neutral,5
inti kecewa,negative,negative,5
aplikasi mantap,positive,positive,5
knp yaa kemaren klo abis rs langsung otomatis panjang rujuk udah klinik daftar antri tingkat gabisa klik coba min gmn solusi baru enak ko gin sihhh bintang yaa min,positive,positive,5
login susah,negative,negative,5
buruk kali kali coba nik yg salah,negative,negative,5
ingat salah jaring aman lancar aja,neutral,neutral,5
bagus mudah guna bnget,positive,positive,5
aplikasi bantu,neutral,neutral,5
verifikasi sms gak dapet,neutral,neutral,5
kontrol rsu mojokerto ko daftar habis operasi daftar no antri ko tdk,neutral,neutral,1
kasih bintang karna aplikasi mudah sulit paksa daftar autodebt tp msih ttep aja gagal udh coba kali ttep gagal data no hp email alamat sesuai jengkel bolak kantor bpjs jdinya klo gabisa aplikasi daftar autodebt bca terang offline doku gagal bayar mandiri pbi,negative,negative,5
hapus data serta kelurga pisah kk pindah tp tera coba baik sisytemnya hubung disdukcapil dinsos tp ko data eror comen mana lagiko parah pas buka apk bilang tera atascoba cek disdukcapil dinsos login jkn pakai no kk,neutral,neutral,5
aplikasi bobrok riweh pol dipake,neutral,neutral,4
terimakasih,neutral,neutral,5
daftar susahribet gak fungsi susah ambil foto,negative,negative,5
gimana yah tibatiba data keluarga kepala keluargaistri anak hilang sisa cuman data anak,neutral,neutral,5
didownload gak,neutral,neutral,5
kirim otp susah banggeeeeeeeeettttttt,negative,negative,3
captcha muter apk gajelas kelas perintah bpjs it nya nanganin kek gin ga beres tolong sehat kalo sifat darurat gimanaaa,neutral,neutral,5
makasih jkn mobile bantu,neutral,neutral,2
aplikasi bagus mudah kl ngecek jkn lngsng dr rumah tampa kantor cabang syar kasih dng progam cicil langgan bpjs,positive,positive,1
mantaf mudah,positive,positive,5
manfaat mudah,positive,positive,5
mudah aplikasi mobile jkn,positive,positive,5
hp nggak error ganti errornya faskes antri nomer ubah nomer buncit garagara web bpjs faskes error,negative,negative,1
aplikasi aneh cari menu pandawa ga nemu ubah data karna skck gabisa bener sulit,negative,negative,5
log in akun knp gak sandi salah pakai fitur lupa sandi terima verifikasi otp sms gak terima terima otp nya gimana sih aplikasi bobrok,neutral,neutral,5
aplikasi tiba log out tpi log in pasword nyata salah pdhal ulang lgi ganti pasword jadi daftar online difaskes jam kunjung tpi gak batal otomatis gak batal gak rujuk difaskes lanjut krn batal daftar online dri faskes buruk apk nya hambat orang utk obat antri dri subuh gilir priksa sistem error nunggu lgi,negative,negative,2
bantu rakyat sperti yg sy alami th,neutral,neutral,1
akun repot daftar antri obat hrs masuk kadang nik cocok password salah apk update,negative,negative,5
nih gak masukx error masukin rekening bank udah mlh gak masuk hapus aplikasi nya install tetep gak masuk repot,negative,negative,5
aplikasi bagus mudah kembang,positive,positive,5
bagus layan ramah,positive,positive,5
asyik bgd satpam nya,neutral,neutral,5
mudah ambil antri skrining pasien tindak segera,positive,positive,5
bagus manfaat,positive,positive,1
muda bagus layan,positive,positive,5
jkn mobile mantap ook,positive,positive,5
gua kasih bintang kode otp via sms smpe x baca nya gagal karna ga pulsa tpi dpet notif kode nya x trus pulsa potong hduh dibnerin lg min,negative,negative,5
aplikasi sayang gak masuk akun nik password pas kecewa nyaman,neutral,negative,5
niceeeeee,neutral,neutral,5
mobile jkn mudah percaya,positive,positive,1
susah ubah password nya,negative,negative,1
the best,neutral,neutral,1
good pro,neutral,neutral,5
susah banget pake apk nya apk suruh login sandi nya bilang salah ga ganti kode verifikasi banget kirim nya pokok ga mendung nyusahin,negative,negative,4
masuk nik daftar susah masuk bebas masuk batas nik bantu orang hp,negative,negative,4
iya kali log in daftar update gagal aja terus otomatis daftar,negative,negative,5
aplikasi f,neutral,neutral,3
logout trs pas login akun blm daftar gimana sih bln bayar,neutral,neutral,1
ganti aplikasi q daftar ribut susah bgt maklum in pinter q udh kansia klu aplikasi yg tu mudah gampang q daftar tpi skrng gk,neutral,neutral,1
teu nyaho tara make,neutral,neutral,5
aplikasi aneh apload foto ganti nomor telepon gagal,negative,negative,4
aplikasi sampah force closed,negative,negative,1
tolong bangett ain mobile jkn website jga jdi g akses apknya website ga kontrol ga ambil antre ga daftar web jga,neutral,neutral,5
bantu proses pindah faskes yamh praktis cepat,positive,positive,3
upgrade leg susah buka nya,negative,negative,2
aplikasi plat merah emang payah,negative,negative,5
aplikasi perintah standar buruk masuk ribet banget password salah ga ganti,negative,negative,5
kode otp ga masuk masuk daftar akun aja susah banget,negative,negative,1
apk busuk nyusahin,neutral,neutral,5
aplikasi error lot mohon baik,neutral,neutral,1
praktis akurat,neutral,neutral,1
suka aplikasi mobile jkn mudah informasi hubung sehat layan moga depan,positive,positive,5
aplikasi yg dibiayain rakyat eror pakai rakyat bantu rakyat niat kerja gak,neutral,neutral,5
aplikasi kembang terimakasih,neutral,neutral,1
aplikasi asal perintah sampaaaaaahmbuleeeeeet,neutral,neutral,5
bantu keluarga terap data butuh repot antri kantor,negative,negative,5
aplikasi sampah,negative,negative,5
trimakasih bpjskis,neutral,neutral,5
sdh login error trs,negative,negative,5
mbantu terimakasih layan,neutral,neutral,5
gimna si aplikasi gk d buka mlah d pulih kn stelah d pulih gk pdahal uda bbrapa pkek lo aneh,negative,negative,4
mudah dn g ribet,positive,positive,1
login pakai email no hp ngga daftar coba login password yg verifikasi wajah ngga gimana kontrol rs minggu ambil nomor antri online,neutral,neutral,5
tolong dnk baik update akun masuk apk jln sih jdi kecewa,neutral,neutral,1
banyak suruh update aplikasi yg jarang butuh tp banyak polah update hp yg udah tdk ikut arus nnt hapus aplikasi klo suruh update,neutral,neutral,5
aplikasi bosok,neutral,neutral,5
rubah data mudah,positive,positive,5
ya ngga rubah nama mendownload kartu serta,neutral,neutral,5
diperbaruialah suka kedip kedipdan responsif,positive,positive,5
bagussss,neutral,neutral,5
wawww yes,neutral,neutral,1
gk buka apk jkn buka masuk sulit no nik pasword nya udah gagal trus buka apknya gimana sandi udh masukin email gk,negative,negative,5
aplikasi aneh nya ubah faskes rumah kota aneh gajelas,negative,negative,1
apk ribet nya ampun fitur jelek serba susah nunggu otp jam gatau ilang kmana,negative,negative,3
aman nyaman,positive,positive,5
daftar sdh masuk identitas,neutral,neutral,5
keren bantu,neutral,neutral,1
mudah lengkap,positive,positive,1
mudah akses iklan,positive,positive,5
mudah bantu,positive,positive,5
bantu jkn top,neutral,neutral,5
mudah,positive,positive,5
mobile jkn mudah awat sehat moga manfaat pribadi orangterima kasih,positive,positive,1
apk kagak njir gua udh daftar batalin pas nama kagak suruh iya iya doang pas dokter praktek gimana dah ngatur uang kagak bgt dokter biayain pake pjs kagak sejahtera gua aja sampe kaget nya batalin kagak waras kecewa berat sih gua pjs duit pajak gua kerja pjs kendara kagak kelola kagak becus kerja,negative,neutral,3
mantapp tingkat,neutral,neutral,5
bagus tingkat,positive,positive,5
susah verifikasi nomer telepon nya otp ngga yg masuk nomer nomer ngga mudah daftar,neutral,neutral,5
mudah proses obat jalan,positive,positive,5
dg apk mobile jkn jd mempermudahsalam keluarga sehat hatur nuhun,neutral,neutral,5
hambat isi aplikasi jkn,neutral,neutral,5
tolong uprate daftar ulang prifikasi ribet kadand lupa pasword,neutral,neutral,5
suka kluar tolong baik lg,positive,positive,5
aplikasi bagusslalu slah nik pasword n kode capca tiga log intdk bsa dicapture bertnyakita bayarmau obat aj susah kaya ginikenapa pkai aplikasi sihkanad kartu bpjs nya yg tanda teedaftarsaya kecewa,negative,negative,4
layan cepat,positive,positive,5
keren aplikasi sangan mudah guna,positive,positive,3
verifikasi nomer telepon sampe jam muncul kode,neutral,neutral,5
verifikasi wajah gagal sudh uninstal kali hambat kontrol pasca operasi,negative,negative,5
diupdate susah daftar antri faskes lanjut ya muncul antri ambil no antri muncul,negative,negative,3
malam sulit no kode verifikasi jaampuun dah,negative,negative,1
wajib jkn tpi g bsa diinstal dihp jadul samsung j prim mudah rakyat gimn cerita kalo kaya gin g rakyat woi rkyat sejahtera sistem nya kaya gin mnta solusi klo ganti hp beliin hp nya,positive,positive,1
bagus banget apk nya bantu,positive,positive,1
d suruh verifikasi no hpkatanya pilih salah metodeberikut g pilih g,neutral,neutral,5
susah banget error mulu daftar masuk apk ge,negative,negative,1
batu trimakasih mobile jkn,neutral,neutral,5
hebat kawan,positive,positive,2
bantu proses lbih mudah trimakih apl mobile jkn,positive,positive,1
apl taiksll trouble sorry knyataannya captcha aj susah muncul udh pake bbrp hp ttp aj,negative,negative,5
ayo download jkn mobilmendaftar bpjs hp mudahberobat gampang,neutral,neutral,4
atur jkn kadang akses kadang gak akses kunci akses,neutral,neutral,3
semenjak pelihara mainteneince gagal boking antre payahh bug udh clear apl launch bug nya bgt jaring safe guard account sampe maintenance update data guna hadehhhh jann jan apk ga safetynya blasss,negative,negative,5
ceoat tanggap,neutral,neutral,5
lengkap,neutral,neutral,5
aplikasi gak ngirim otp software terbit sulit,negative,negative,5
log in paswor salah trus ganti paswor bsok nya salah ganti gitu,neutral,neutral,1
sengaja susah masyarakat susah layan,negative,negative,5
bau ajar paham depan moga mudah erti,positive,positive,5
gw ga kontrol minggu langsung ilang rujuk rumah sakit apa gajelas daftar manual ribet banget,neutral,neutral,5
aplikasi rusak gilir daftar aja ganggu udah ngambil duluan susah obat server jelek notifikasi cek jaring user kocak emang,negative,negative,5
aplikasi mobile jkn mudah kait bpjs sehat,positive,positive,4
mantap layan,positive,positive,1
bug broken gabisa kirim otp registrasi passwordnya pake spasi ingat tp pas coba login gabis pake spasi,neutral,neutral,5
ga daftar kode otp sms ga masukmasuk coba ulang kali,neutral,neutral,1
bayar tagih yaa,neutral,neutral,5
bantu skali trmksh mobile jkn,neutral,neutral,5
bantu terima kasih,neutral,neutral,5
bayar tagih aplikasi mobile jkn lunas dana tera lunas error mohon cerah,negative,negative,1
mudah,positive,positive,1
eror,neutral,neutral,5
gk tau tiba logout hp gk apain masuk susah pasword salah nomer nik salah dah bener looh,negative,negative,1
oke mudah,positive,positive,1
aplikasi mudah d,positive,positive,1
fiturnya d donk poly anak sy obat k puskesmas d bilang gk ambil pilih menu poly,neutral,neutral,1
aplikasi negara payahmau msuk aja susah ampun,negative,negative,5
aplikasi cacat sampah dihandphone daftar sulit suruh kedukcapil emang kk warung sembako koplok,negative,negative,5
bantu segi sehat,neutral,neutral,3
bagus banget terimakasih jkn cepat akses layan sehat butuh,positive,positive,1
tolong baik sistem logout mudah nambahin beban klo logout sndiri mohon baik,positive,positive,3
lg screenshootjadi repot kece ulang rumah sakit kendala hp,negative,negative,1
puas layan jkn mobile,positive,positive,1
aplikasi aneh error pas check in nyusahin,negative,negative,1
kemaren aman aja bantu tiba maret suruh login ulang hubung ga inget pasword verifikasi sms udah ga ambil antri maret,neutral,neutral,5
info lengkap mudah cari,positive,positive,5
gk log,neutral,neutral,1
so gaga uti,neutral,neutral,1
menpermudah daftar,neutral,neutral,5
keren bantu,neutral,neutral,5
masuk jkn susah bgt dah,negative,negative,1
alhamdulillah cepet akurat smoga tetep aktif bpjs ku,neutral,neutral,1
he apk jkn nek g niat pada gae apk g gawe apk eror ganggu prosese angel,neutral,neutral,1
aplikasi apaa an busuk obat aja sulit negara udah sakit rakyat sakit sulit,negative,negative,1
moga,neutral,neutral,2
update aplikasi tgl juni data fasker rujuk tingkat hilang kontrol lanjut masak rujuan faskes tingkat,neutral,neutral,1
dapet kode otp sampe tunggulama,neutral,neutral,1
aplikasi yg biasajadi tdak repot kantor bpjslewat aplikasi cepat banget,neutral,negative,1
tolong tingkat,neutral,neutral,5
